#current test-bed topology for ndnSIM, converted by Ertugrul DOGRULUK, university of minho

router

#node comment yPos xPos

leaf-53119	NA	35.8092 139.7193
leaf-53140	NA	35.8092 139.7193
leaf-53142	NA	35.8092 139.7193
leaf-53143	NA	35.8092 139.7193
leaf-53144	NA	35.8092 139.7193
leaf-53141	NA	35.8092 139.7193
leaf-62972	NA	38.14907010 -90.30334710
leaf-62978	NA	38.14907010 -90.30334710
leaf-62980	NA	38.14907010 -90.30334710
leaf-62982	NA	38.14907010 -90.30334710
leaf-62986	NA	38.14907010 -90.30334710
leaf-62987	NA	38.14907010 -90.30334710
leaf-63056	NA	38.14907010 -90.30334710
leaf-63007	NA	38.14907010 -90.30334710
leaf-63017	NA	38.14907010 -90.30334710
leaf-63023	NA	38.14907010 -90.30334710


link
# Each line should be in the following format (only first two are required, the rest can be omitted)
# srcNode   dstNode     bandwidth   metric  delay   queue
# bandwidth: link bandwidth
# metric: routing metric
# delay:  link delay
# queue:  MaxPackets for transmission queue on the link (both directions)

# srcNode   dstNode     bandwidth   metric  delay   queue

bb-afa bb-mumbai_aws 100Mbps 1 100ms 100 
bb-afa bb-bern 100Mbps 1 15ms 100
bb-afa bb-cagliari 100Mbps 1 25ms 100
bb-afa bb-padua 100Mbps 1 11ms 100
bb-afa bb-copelabs 100Mbps 1 36ms 100
leaf-4626	bb-afa 1000Mbps 1 1ms 100
leaf-11242	bb-afa 1000Mbps 1 1ms 100
leaf-6868	bb-afa	1000Mbps 1 1ms 100
leaf-12512	bb-afa	1000Mbps 1 1ms 100
leaf-12480	bb-afa	1000Mbps 1 1ms 100
leaf-12483	bb-afa	1000Mbps 1 1ms 100
leaf-12486	bb-afa	1000Mbps 1 1ms 100
leaf-12452	bb-afa	1000Mbps 1 1ms 100
leaf-12651	bb-afa	1000Mbps 1 1ms 100
leaf-12473	bb-afa	1000Mbps 1 1ms 100
bb-anyang bb-tongji 100Mbps 1 54ms 100
bb-anyang bb-srru 100Mbps 1 57ms 100
bb-anyang bb-msu 100Mbps 1 70ms 100
bb-anyang bb-bupt 100Mbps 1 33ms 100
bb-anyang bb-kisti 100Mbps 1 40ms 100
bb-anyang bb-waseda 100Mbps 1 40ms 100
bb-anyang bb-osaka 100Mbps 1 36ms 100
leaf-12478 bb-anyang 1000Mbps 1 1ms 100
leaf-12451	bb-anyang 1000Mbps 1 1ms 100
leaf-13118	bb-anyang 1000Mbps 1 1ms 100
leaf-13120	bb-anyang 1000Mbps 1 1ms 100
leaf-12472	bb-anyang 1000Mbps 1 1ms 100
leaf-12471	bb-anyang 1000Mbps 1 1ms 100
leaf-12479	bb-anyang 1000Mbps 1 1ms 100
leaf-12484	bb-anyang 1000Mbps 1 1ms 100
leaf-12488	bb-anyang 1000Mbps 1 1ms 100
leaf-12481	bb-anyang 1000Mbps 1 1ms 100
bb-arizona bb-caida 100Mbps 1 25ms 100
bb-arizona bb-remap 100Mbps 1 25ms 100
bb-arizona bb-waseda 100Mbps 1 75ms 100
bb-arizona bb-byu 100Mbps 1 30ms 100
bb-arizona bb-uaslp 100Mbps 1 100ms 100
bb-arizona bb-wu 100Mbps 1 33ms 100
bb-arizona bb-csu 100Mbps 1 18ms 100
bb-arizona bb-memphis 100Mbps 1 17ms 100
leaf-12482	bb-arizona 1000Mbps 1 1ms 100
leaf-12485	bb-arizona 1000Mbps 1 1ms 100
leaf-12492	bb-arizona 1000Mbps 1 1ms 100
leaf-12489	bb-arizona 1000Mbps 1 1ms 100
leaf-12490	bb-arizona 1000Mbps 1 1ms 100
leaf-12491	bb-arizona 1000Mbps 1 1ms 100
leaf-12493	bb-arizona 1000Mbps 1 1ms 100
leaf-12494	bb-arizona 1000Mbps 1 1ms 100
leaf-12495	bb-arizona 1000Mbps 1 1ms 100
leaf-12540	bb-arizona 1000Mbps 1 1ms 100
bb-basel bb-urjc 100Mbps 1 14ms 100
bb-basel bb-minho 100Mbps 1 23ms 100
bb-basel bb-ntnu 100Mbps 1 30ms 100
bb-basel bb-padua 100Mbps 1 9ms 100
bb-basel bb-lip6 100Mbps 1 7ms 100
bb-basel bb-goettingen 100Mbps 1 10ms 100
bb-basel bb-bern 100Mbps 1 2ms 100
bb-basel bb-tno 100Mbps 1 14ms 100
bb-basel bb-systemx 100Mbps 1 9ms 100
leaf-12497	bb-basel 1000Mbps 1 1ms 100
leaf-12496	bb-basel 1000Mbps 1 1ms 100
leaf-12513	bb-basel 1000Mbps 1 1ms 100
leaf-12498	bb-basel 1000Mbps 1 1ms 100
leaf-12509	bb-basel 1000Mbps 1 1ms 100
leaf-12510	bb-basel 1000Mbps 1 1ms 100
leaf-12511	bb-basel 1000Mbps 1 1ms 100
leaf-12528	bb-basel 1000Mbps 1 1ms 100
leaf-12618	bb-basel 1000Mbps 1 1ms 100
leaf-12623	bb-basel 1000Mbps 1 1ms 100
bb-bern bb-lip6 100Mbps 1 18ms 100
leaf-12673	bb-bern 1000Mbps 1 1ms 100
leaf-12872	bb-bern 1000Mbps 1 1ms 100
leaf-12508	bb-bern 1000Mbps 1 1ms 100
leaf-12507	bb-bern 1000Mbps 1 1ms 100
leaf-12619	bb-bern 1000Mbps 1 1ms 100
leaf-12873	bb-bern 1000Mbps 1 1ms 100
leaf-12514	bb-bern 1000Mbps 1 1ms 100
leaf-12516	bb-bern 1000Mbps 1 1ms 100
leaf-12515	bb-bern 1000Mbps 1 1ms 100
leaf-12523	bb-bern 1000Mbps 1 1ms 100
bb-bupt bb-pkusz 100Mbps 1 54ms 100
bb-bupt bb-waseda 100Mbps 1 48ms 100
bb-bupt bb-tongji 100Mbps 1 18ms 100
bb-bupt bb-srru 100Mbps 1 72ms 100
bb-bupt bb-indonesia 100Mbps 1 54ms 100
bb-bupt bb-kisti 100Mbps 1 33ms 100
bb-bupt bb-cnic 100Mbps 1 10ms 100
leaf-12950	bb-bupt 1000Mbps 1 1ms 100
leaf-12520	bb-bupt 1000Mbps 1 1ms 100
leaf-12522	bb-bupt 1000Mbps 1 1ms 100
leaf-12551	bb-bupt 1000Mbps 1 1ms 100
leaf-12529	bb-bupt 1000Mbps 1 1ms 100
leaf-12538	bb-bupt 1000Mbps 1 1ms 100
leaf-12678	bb-bupt 1000Mbps 1 1ms 100
leaf-12552	bb-bupt 1000Mbps 1 1ms 100
leaf-13092	bb-bupt 1000Mbps 1 1ms 100
leaf-12595	bb-bupt 1000Mbps 1 1ms 100
bb-byu bb-csu 100Mbps 1 8ms 100
bb-byu bb-remap 100Mbps 1 9ms 100
leaf-12559	bb-byu 1000Mbps 1 1ms 100
leaf-12561	bb-byu 1000Mbps 1 1ms 100
leaf-12562	bb-byu 1000Mbps 1 1ms 100
leaf-12563	bb-byu 1000Mbps 1 1ms 100
leaf-12565	bb-byu 1000Mbps 1 1ms 100
leaf-12566	bb-byu 1000Mbps 1 1ms 100
leaf-12568	bb-byu 1000Mbps 1 1ms 100
leaf-12572	bb-byu 1000Mbps 1 1ms 100
leaf-12575	bb-byu 1000Mbps 1 1ms 100
leaf-12570	bb-byu 1000Mbps 1 1ms 100
bb-cagliari bb-urjc 100Mbps 1 28ms 100
